"WBRchCd","tn02","tn25","ts02","ts25","ts_chg"
"01090001001881",0.284321722526396,0.213023377577998,"oligo","oligo",0
"01090004002755",0.0693635119718834,0.0626577957292289,"oligo","oligo",0
"01090003001050",0.485098958259988,0.397618858217887,"meso","meso",0
"01090001001956",0.0217630607897114,0.0163971877750055,"oligo","oligo",0
"01090001001653",0.178927145410333,0.136452932549921,"oligo","oligo",0
"01090004002690",0.432707088701621,0.358488677309223,"meso","oligo",1
"01090002003232",0.126782194163548,0.119938434786442,"oligo","oligo",0
"01090002003596",0.499093516628324,0.455119896178097,"meso","meso",0
"01090002003371",0.463095188651867,0.388170067646851,"meso","meso",0
"01090001001947",0.165121993414619,0.110904746910379,"oligo","oligo",0
"01090002003384",0.290924231885463,0.265776550775935,"oligo","oligo",0
"01090004002522",0.873855019230322,0.778130398201087,"eu","eu",0
"01090004002168",0.507791398190515,0.439042461802776,"meso","meso",0
"01090003001090",0.549596056170515,0.448617582458767,"meso","meso",0
"01090004002697",0.704069273830874,0.601367076934011,"meso","meso",0
"01090005000519",0.0714385377691328,0.0486884545687211,"oligo","oligo",0
"01090004002466",0.488080543780677,0.413593813962142,"meso","meso",0
"01090002003429",0.437533097561766,0.372792511831661,"meso","meso",0
"01090002003582",0.15438412301934,0.1335130973301,"oligo","oligo",0
"01090002002845",0.0970028772330145,0.0708266449172141,"oligo","oligo",0
"01090001001618",0.501280548640986,0.419134660579578,"meso","meso",0
"01090001001816",0.576657725756824,0.48631553611259,"meso","meso",0
"01090005000537",0.377602510604646,0.290535588532622,"meso","oligo",1
"01090004002481",0.880927604089222,0.786677088740658,"eu","eu",0
"01090003000983",0.619233668585227,0.521139386655658,"meso","meso",0
"01090002002878",0.0594195354318183,0.0485176518429628,"oligo","oligo",0
"01090001002125",2.78486843555448,2.68162983064327,"eu","eu",0
"01090002002813",0.222090851104969,0.18500901447691,"oligo","oligo",0
"01090003001042",0.393467431901103,0.335603132248103,"meso","oligo",1
"01090004002807",0.0928876529846684,0.0813276793554231,"oligo","oligo",0
"01090004002464",0.227242488429079,0.195676670492172,"oligo","oligo",0
"01090005000606",0.501582081920186,0.383178958429546,"meso","meso",0
"01090003000919",0.247542506705494,0.209284144995948,"oligo","oligo",0
"01090004002449",0.196570256062912,0.177553431154171,"oligo","oligo",0
"01090005000523",0.278674321025993,0.203157339115056,"oligo","oligo",0
"01090002003014",3.93651228564114,3.87297781627769,"hyper","hyper",0
"01090002003577",0.0834338353052766,0.058157147786281,"oligo","oligo",0
"01090002003123",0.172184256160777,0.137570879306315,"oligo","oligo",0
"01090001001680",0.713737719651302,0.6078487077597,"meso","meso",0
"01090002002977",0.116332928851995,0.108495662130454,"oligo","oligo",0
"01090001001851",0.841933309906886,0.721602664787225,"eu","meso",1
"01090001002072",1.43027814648954,1.30669786855903,"eu","eu",0
"01090001002090",0.531142370153187,0.451386653972071,"meso","meso",0
"01090005000536",0.437676536182153,0.314523251186475,"meso","oligo",1
"01090001001625",0.0326714117900746,0.0290008945051643,"oligo","oligo",0
"01090002002892",0.266690782951083,0.222986504132104,"oligo","oligo",0
"01090002003538",0.263651585991905,0.24845033175631,"oligo","oligo",0
"01090002003033",0.0543926795003625,0.0494885318359774,"oligo","oligo",0
"01090003000953",0.773754450407559,0.67962548560259,"eu","meso",1
"01090002002888",0.29180513754623,0.231635006861754,"oligo","oligo",0
"01090001001635",0.202947688265925,0.166151867943185,"oligo","oligo",0
"01090004002213",0.445913841917847,0.355718181771685,"meso","oligo",1
"01090003000962",0.667303544440708,0.542844667112959,"meso","meso",0
"01090001001648",0.24654838409473,0.195187341323998,"oligo","oligo",0
"01090002003618",0.192715295435369,0.175335091373661,"oligo","oligo",0
"01090005000526",0.0187125160146664,0.00957383644117634,"oligo","oligo",0
"01090005000616",0.922493696652526,0.812361420655614,"eu","eu",0
"01090002003559",0.00506371765363959,0.00311074400669283,"oligo","oligo",0
"01090004002682",0.20818434967024,0.16792166880104,"oligo","oligo",0
"01090003001005",0.13265142888386,0.1081140183142,"oligo","oligo",0
"01090003000952",0.250305948192783,0.180002234737003,"oligo","oligo",0
"01090002003152",0.213582203390133,0.182622621059831,"oligo","oligo",0
"01090001001731",1.02258221430747,0.925992857731591,"eu","eu",0
"01090004002543",2.83850221501972,2.73443200947505,"eu","eu",0
"01090004002847",0.322577586046878,0.28014529312619,"oligo","oligo",0
"01090003000956",0.637301645556373,0.546719483452144,"meso","meso",0
"01090002003148",0.0881666549491222,0.081070806163227,"oligo","oligo",0
"01090005000559",0.470011436142134,0.348111265535391,"meso","oligo",1
"01090004002805",0.479752839356114,0.347120029753548,"meso","oligo",1
"01090005000633",0.490094664525407,0.442149298731982,"meso","meso",0
"01090005000574",0.461410173531852,0.387250813916111,"meso","meso",0
"01090003001089",0.727801054481666,0.621859692509202,"meso","meso",0
"01090003000917",0.38499305384387,0.316085583592885,"meso","oligo",1
"01090003001184",0.635829897852243,0.537653013176091,"meso","meso",0
"01090001001882",0.714895917209023,0.616631025753441,"meso","meso",0
"01090001001674",0.165294433257645,0.116486110964349,"oligo","oligo",0
"01090003001029",0.478101569522269,0.385209682964851,"meso","meso",0
"01090004002693",0.549351827458342,0.512937699874412,"meso","meso",0
"01090004002235",0.422924900828314,0.333232884537799,"meso","oligo",1
"01090003001211",0.798018953772597,0.698311140053593,"eu","meso",1
"01090004002751",0.321626944004149,0.231607796559065,"oligo","oligo",0
"01090004002717",0.455146553650458,0.30879054974798,"meso","oligo",1
"01090004002332",0.330940497163859,0.259656946928348,"oligo","oligo",0
"01090004002659",0.744469128678901,0.626840196146073,"eu","meso",1
"01090003000942",0.797778818859997,0.704494380540706,"eu","meso",1
"01090003001015",0.696809592040944,0.604609408748996,"meso","meso",0
"01090004002862",0.0249581138444719,0.0222440805999183,"oligo","oligo",0
"01090001001629",0.141811443209921,0.111917573362008,"oligo","oligo",0
"01090002003521",0.0267265496503372,0.0219627363131565,"oligo","oligo",0
"01090003000920",0.718351533194514,0.619516252153144,"meso","meso",0
"01090001001978",0.716383682905242,0.620367259258359,"meso","meso",0
"01090004002597",0.392887447757747,0.336032805786162,"meso","oligo",1
"01090004002156",0.899548771869191,0.795237246966601,"eu","eu",0
"01090003001118",2.57410822515548,2.47357390767261,"eu","eu",0
"01090004002327",0.320089686349549,0.260873104135139,"oligo","oligo",0
"01090001002068",0.268614908134036,0.218950955501603,"oligo","oligo",0
"01090004002616",2.30965252637757,2.21170524354944,"eu","eu",0
"01090001001654",0.0530939325724384,0.0399229390010678,"oligo","oligo",0
"01090004002596",0.163435181994029,0.126504095731084,"oligo","oligo",0
"01090001001936",1.17454669777046,1.03080528659044,"eu","eu",0
"01090001001641",0.172804421687924,0.128104561058444,"oligo","oligo",0
"01090002003460",0.284681174889982,0.209756871393003,"oligo","oligo",0
"01090002003374",0.252826303850582,0.218109816382777,"oligo","oligo",0
"01090003000908",0.187645680453942,0.170829020616199,"oligo","oligo",0
"01090001001993",0.0681106556353396,0.0550250422744332,"oligo","oligo",0
"01090003001149",2.06353003093336,1.95658467207751,"eu","eu",0
"01090003001141",0.551909273973618,0.450354983459733,"meso","meso",0
"01090004002687",0.736028896401945,0.623060241071534,"eu","meso",1
